Project,Package,Module,Class,Smell,Method,Line no,File,Description
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long message chain,run_experiment,639,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: save_checkpoint = config.logger.checkpointing.save_model."
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long method,get_learner_fn,59 - 439,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,Method 'get_learner_fn' is too long (372 lines).
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long method,learner_setup,442 - 580,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,Method 'learner_setup' is too long (101 lines).
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long method,run_experiment,583 - 721,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,Method 'run_experiment' is too long (107 lines).
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long statement,get_learner_fn,70,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,A line with 956 chars in get_learner_fn exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long statement,get_learner_fn,410,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,A line with 887 chars in get_learner_fn exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long statement,get_learner_fn,430,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,A line with 135 chars in get_learner_fn exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long statement,learner_setup,465,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,A line with 158 chars in learner_setup exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long statement,learner_setup,471,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,A line with 131 chars in learner_setup exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long statement,learner_setup,532,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,A line with 140 chars in learner_setup exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long statement,learner_setup,546,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,A line with 122 chars in learner_setup exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long statement,learner_setup,571,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,A line with 161 chars in learner_setup exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long statement,run_experiment,593,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,A line with 142 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long statement,run_experiment,618,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,A line with 142 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long statement,run_experiment,624,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,A line with 162 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long statement,run_experiment,641,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,A line with 123 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long statement,run_experiment,649,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,A line with 126 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long statement,run_experiment,687,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,A line with 173 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long statement,run_experiment,706,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,A line with 126 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Magic number,get_learner_fn,268,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,Magic number 0.5 used in get_learner_fn.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Magic number,get_learner_fn,231,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,Magic number 1e-08 used in get_learner_fn.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Long lambda function,get_learner_fn,98,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,A Lambda with 88 chars in get_learner_fn exceeds the maximum length of 80 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Long lambda function,learner_setup,414,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,A Lambda with 105 chars in learner_setup exceeds the maximum length of 80 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Complex method,run_experiment,451 - 570,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,"Method 'run_experiment' has a cyclomatic complexity of 8, exceeding the max of 6."
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Long message chain,learner_setup,363,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: actor_torso = hydra.utils.instantiate(config.network.actor_network.pre_torso)."
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Long message chain,learner_setup,367,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: critic_torso = hydra.utils.instantiate(config.network.critic_network.pre_torso)."
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Long message chain,run_experiment,499,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: save_checkpoint = config.logger.checkpointing.save_model."
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Long method,get_learner_fn,50 - 346,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,Method 'get_learner_fn' is too long (287 lines).
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Long method,run_experiment,451 - 570,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,Method 'run_experiment' is too long (92 lines).
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Long statement,get_learner_fn,62,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,A line with 794 chars in get_learner_fn exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Long statement,get_learner_fn,319,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,A line with 721 chars in get_learner_fn exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Long statement,get_learner_fn,337,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,A line with 135 chars in get_learner_fn exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Long statement,learner_setup,414,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,A line with 122 chars in learner_setup exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Long statement,run_experiment,478,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,A line with 142 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Long statement,run_experiment,484,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,A line with 162 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Long statement,run_experiment,501,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,A line with 123 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Long statement,run_experiment,541,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,A line with 173 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Magic number,get_learner_fn,210,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,Magic number 0.5 used in get_learner_fn.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,Magic number,get_learner_fn,176,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py,Magic number 1e-08 used in get_learner_fn.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Long lambda function,get_learner_fn,92,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,A Lambda with 88 chars in get_learner_fn exceeds the maximum length of 80 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Long lambda function,learner_setup,398,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,A Lambda with 105 chars in learner_setup exceeds the maximum length of 80 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Complex method,run_experiment,435 - 553,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,"Method 'run_experiment' has a cyclomatic complexity of 8, exceeding the max of 6."
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Long message chain,learner_setup,347,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: actor_torso = hydra.utils.instantiate(config.network.actor_network.pre_torso)."
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Long message chain,learner_setup,351,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: critic_torso = hydra.utils.instantiate(config.network.critic_network.pre_torso)."
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Long message chain,run_experiment,483,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: save_checkpoint = config.logger.checkpointing.save_model."
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Long method,get_learner_fn,45 - 330,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,Method 'get_learner_fn' is too long (276 lines).
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Long method,run_experiment,435 - 553,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,Method 'run_experiment' is too long (91 lines).
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Long statement,get_learner_fn,57,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,A line with 794 chars in get_learner_fn exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Long statement,get_learner_fn,303,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,A line with 722 chars in get_learner_fn exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Long statement,get_learner_fn,321,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,A line with 135 chars in get_learner_fn exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Long statement,learner_setup,398,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,A line with 122 chars in learner_setup exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Long statement,run_experiment,462,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,A line with 142 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Long statement,run_experiment,468,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,A line with 162 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Long statement,run_experiment,485,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,A line with 123 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Long statement,run_experiment,524,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,A line with 173 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Magic number,get_learner_fn,198,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,Magic number 0.5 used in get_learner_fn.
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,Magic number,get_learner_fn,164,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py,Magic number 1e-08 used in get_learner_fn.
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long lambda function,get_learner_fn,104,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,A Lambda with 88 chars in get_learner_fn exceeds the maximum length of 80 characters.
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long lambda function,learner_setup,413,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,A Lambda with 87 chars in learner_setup exceeds the maximum length of 80 characters.
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Complex method,run_experiment,451 - 670,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,"Method 'run_experiment' has a cyclomatic complexity of 11, exceeding the max of 6."
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long message chain,learner_setup,363,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: actor_torso = hydra.utils.instantiate(config.network.actor_network.pre_torso)."
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long message chain,learner_setup,365,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: critic_torso = hydra.utils.instantiate(config.network.critic_network.pre_torso)."
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long message chain,run_experiment,494,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: save_checkpoint = config.logger.checkpointing.save_model."
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long method,get_learner_fn,57 - 343,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,Method 'get_learner_fn' is too long (277 lines).
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long method,learner_setup,346 - 448,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,Method 'learner_setup' is too long (68 lines).
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long method,run_experiment,451 - 670,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,Method 'run_experiment' is too long (184 lines).
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long statement,get_learner_fn,69,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,A line with 794 chars in get_learner_fn exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long statement,get_learner_fn,313,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,A line with 721 chars in get_learner_fn exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long statement,get_learner_fn,331,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,A line with 147 chars in get_learner_fn exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long statement,get_learner_fn,334,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,A line with 121 chars in get_learner_fn exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long statement,learner_setup,370,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,A line with 128 chars in learner_setup exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long statement,learner_setup,374,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,A line with 130 chars in learner_setup exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long statement,learner_setup,438,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,A line with 122 chars in learner_setup exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long statement,run_experiment,474,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,A line with 162 chars in run_experiment exceeds the maximum length of 120 characters.
