Project,Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-In,Fan-Out,DIT,File
dataset,dataset.codespell.codespell_lib.tests,test_basic,,933,63,37,36,1,1,0.86,1,1,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py
dataset,dataset.codespell.codespell_lib.tests,test_basic,MainWrapper,20,5,1,1,0,0,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py
dataset,dataset.maltrail.core,settings,,315,124,10,9,105,105,0.5,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/settings.py
dataset,dataset.maltrail.core,addr,,52,16,7,7,0,0,0.29,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/addr.py
dataset,dataset.maltrail.core,colorized,,35,11,1,1,1,1,0,1,1,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/colorized.py
dataset,dataset.maltrail.core,colorized,ColorizedStream,31,9,3,2,5,0,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/colorized.py
dataset,dataset.maltrail.core,log,,234,76,9,9,5,0,0.22,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/log.py
dataset,dataset.maltrail.core,update,,353,132,5,3,2,1,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/update.py
dataset,dataset.maltrail.core,common,,232,77,15,15,1,0,0.73,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/common.py
dataset,dataset.maltrail.trails.feeds,badips,,12,6,1,1,5,0,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/trails/feeds/badips.py
dataset,dataset.maltrail.trails.feeds,torproject,,10,5,1,1,4,0,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/trails/feeds/torproject.py
dataset,dataset.maltrail.trails.feeds,dataplane,,12,6,1,1,4,0,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/trails/feeds/dataplane.py
dataset,dataset.maltrail.trails.feeds,alienvault,,16,6,2,2,4,0,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/trails/feeds/alienvault.py
