Package,Module,Class,Function,Complex method,Long parameter list,Long method,Complex conditional,Empty catch block,Long identifier,Long statement,Magic number,Missing default,Long lambda function,Long message chain
core,log,,get_event_log_handle,,1,,,,,,,,,
core,parallel,,,,,,,,,,,,,
core,settings,,read_ua,,1,,,,,,,,,
core,settings,,check_deprecated,,,,,,,,,,,
core,settings,,add_ignore_list,,,,,,,,,,,
core,settings,,read_whitelist,,,,,,,,,,,
core,settings,,read_config,,,,,,,,,,,
core,settings,,_get_total_physmem,,,,,,,,,,,
core,trailsdict,,,,,,,,,,,,,
core,update,,main,,1,,,,,,,,,
core,update,,ipcat,,1,,,,,,,,,
core,update,,update_trails,,1,1,,,,,,,,
core,update,,,,,,,,,,,,,
plugins,peek,,,,,,,,,,,,,
plugins,strings,,,,,,,,,,,,,
thirdparty.odict,ordereddict,,,,,,,,,,,,,
trails.feeds,abuseipdb,,,,,,,,,,,,,
trails.feeds,alienvault,,fetch,,1,,,,,,,,,
trails.feeds,atmos,,,,,,,,,,,,,
trails.feeds,badips,,fetch,,1,,,,,,,,,
trails.feeds,binarydefense,,,,,,,,,,,,,
trails.feeds,bitcoinnodes,,,,,,,,,,,,,
trails.feeds,blackbook,,,,,,,,,,,,,
trails.feeds,blackholemonster,,,,,,,,,,,,,
trails.feeds,blocklist,,,,,,,,,,,,,
trails.feeds,botscout,,,,,,,,,,,,,
trails.feeds,bruteforceblocker,,,,,,,,,,,,,
trails.feeds,ciarmy,,,,,,,,,,,,,
trails.feeds,cobaltstrike,,fetch,,1,,,,,,,,,
trails.feeds,cruzit,,,,,,,,,,,,,
trails.feeds,cybercrimetracker,,fetch,,1,,,,,,,,,
trails.feeds,dataplane,,fetch,,1,,,,,,,,,
trails.feeds,dataplane,,,,,,,,,,,,,
trails.feeds,dshieldip,,,,,,,,,,,,,
trails.feeds,emergingthreatsbot,,,,,,,,,,,,,
trails.feeds,emergingthreatscip,,,,,,,,,,,,,
trails.feeds,emergingthreatsdns,,,,,,,,,,,,,
trails.feeds,fareit,,,,,,,,,,,,,
trails.feeds,feodotrackerip,,,,,,,,,,,,,
trails.feeds,gpfcomics,,,,,,,,,,,,,
trails.feeds,greensnow,,,,,,,,,,,,,
trails.feeds,ipnoise,,,,,,,,,,,,,
trails.feeds,maxmind,,,,,,,,,,,,,
trails.feeds,minerchk,,,,,,,,,,,,,
trails.feeds,myip,,,,,,,,,,,,,
trails.feeds,openphish,,,,,,,,,,,,,
trails.feeds,palevotracker,,,,,,,,,,,,,
trails.feeds,policeman,,fetch,,1,,,,,,,,,
trails.feeds,policeman,,,,,,,,,,,,,
trails.feeds,proxylists,,,,,,,,,,,,,
trails.feeds,proxyspy,,,,,,,,,,,,,
trails.feeds,ransomwaretrackerdns,,,,,,,,,,,,,
trails.feeds,ransomwaretrackerip,,,,,,,,,,,,,
trails.feeds,ransomwaretrackerurl,,,,,,,,,,,,,
trails.feeds,rutgers,,,,,,,,,,,,,
trails.feeds,sblam,,,,,,,,,,,,,
trails.feeds,scriptzteam,,,,,,,,,,,,,
trails.feeds,socksproxy,,,,,,,,,,,,,
trails.feeds,sslbl,,fetch,,1,,,,,,,,,
trails.feeds,sslproxies,,,,,,,,,,,,,
trails.feeds,statics,,,,,,,,,,,,,
trails.feeds,talosintelligence,,,,,,,,,,,,,
trails.feeds,torproject,,,,,,,,,,,,,
trails.feeds,trickbot,,,,,,,,,,,,,
trails.feeds,turris,,,,,,,,,,,,,
trails.feeds,urlhaus,,fetch,,1,,,,,,,,,
trails.feeds,viriback,,fetch,,1,,,,,,,,,
trails.feeds,vxvault,,,,,,,,,,,,,
trails.feeds,zeustrackermonitor,,,,,,,,,,,,,
trails.feeds,zeustrackerurl,,,,,,,,,,,,,
server,,,main,,1,1,,,,,,,,
server,,,,,,,,,,,,,,
sensor,,,main,,1,1,,,,,,,,
sensor,,,monitor,,,1,,,,,,,,
sensor,,,_init_multiprocessing,,1,,,,,,,,,
sensor,,,init,,1,1,,,,,,,,
sensor,,,_process_packet,,1,1,,,,,,,,
sensor,,,_get_local_prefix,,,1,,,,,,,,
sensor,,,_check_domain,1,1,1,,,,,,,,
sensor,,,,,,,,,,,,,,
codespell,,,,,,,,,,,,,,
codespell_lib,_codespell,,,,,,0,7,1,38,1,0,0,1
codespell_lib,_spellchecker,,,,,,0,0,0,0,0,0,0,0
codespell_lib,_text_util,,,,,,0,0,0,0,0,0,0,0
codespell_lib.tests,test_basic,,,,,,0,1,6,20,42,0,0,0
codespell_lib.tests,test_dictionary,,,,,,0,0,0,16,6,0,0,0
mava,,,,,,,0,8,7,74,49,0,0,1
mava.advanced_usage,ff_ippo_store_experience,,,,,,0,0,0,17,1,0,3,0
mava.networks,base,,,,,,0,0,0,4,0,0,0,0
mava.networks,distributions,,,,,,0,0,0,2,0,0,0,0
mava.networks,heads,,,,,,0,0,0,0,0,0,0,0
mava.networks,torsos,,,,,,0,0,0,0,0,0,0,0
mava.networks,__init__,,,,,,0,0,0,0,0,0,0,0
mava.systems.ppo.anakin,__init__,,,,,,0,0,0,0,0,0,0,0
mava.systems.ppo.anakin,ff_ippo,,,,,,0,0,0,11,2,0,2,0
mava.systems.ppo.anakin,ff_mappo,,,,,,0,0,0,12,2,0,2,0
mava.systems.ppo.anakin,rec_ippo,,,,,,0,0,0,21,2,0,3,0
mava.systems.ppo.anakin,rec_mappo,,,,,,0,0,0,21,2,0,4,0
mava.systems.ppo,__init__,,,,,,0,0,0,0,0,0,0,0
mava.systems.ppo,types,,,,,,0,0,0,0,0,0,0,0
mava.systems.q_learning.anakin,rec_iql,,,,,,0,0,0,11,0,0,1,0
mava.systems.q_learning,types,,,,,,0,0,0,0,0,0,0,0
mava.systems.sac,types,,,,,,0,0,0,1,0,0,0,0
mava.systems.sac.anakin,ff_isac,,,,,,0,0,0,0,0,0,1,0
mava.systems.sac.anakin,ff_masac,,,,,,0,0,0,0,0,0,1,0
mava.utils,centralised_training,,,,,,0,0,0,0,0,0,0,0
mava.utils,checkpointing,,,,,,0,0,0,0,0,0,0,0
mava.utils,jax_utils,,,,,,0,0,0,0,0,0,0,0
mava.utils,logger,,,,,,1,0,0,5,1,0,0,1
mava.utils,make_env,,,,,,0,0,0,3,0,0,0,0
mava.utils,total_timestamp_checker,,,,,,0,0,0,3,0,0,0,0
mava.utils,training,,,,,,0,0,0,1,0,0,0,0
maltrail,,,,,,,,,,,,,,
core,addr,,,,,,0,0,0,0,8,0,0,0
core,attribdict,,,,,,0,0,0,0,0,0,0,0
core,colorized,,,,,,0,0,0,11,0,0,5,0
core,common,,,,,,0,6,0,2,1,0,0,1
core,compat,,,,,,0,0,0,0,0,0,0,0
core,datatype,,,,,,0,0,0,0,0,0,0,0
core,enums,,,,,,0,0,0,0,0,0,0,0
core,httpd(nested),,,,,,0,2,0,0,0,0,0,0
core,ignore,,,,,,0,0,0,1,0,0,0,0
core,log,,,,,,0,1,0,10,1,0,0,0
core,parallel,,,,,,0,2,0,0,3,0,0,0
core,settings,,,,,,0,8,11,33,12,0,0,0
core,trailsdict,,,,,,0,0,0,0,3,0,0,0
core,update,,,,,,4,3,0,13,12,0,0,0
plugins,peek,,,,,,0,0,0,0,0,0,0,0
plugins,strings,,,,,,0,0,0,0,0,0,0,0
thirdparty.odict,ordereddict,,,,,,0,0,0,0,0,0,0,0
trails.feeds,abuseipdb,,,,,,0,0,0,1,0,0,0,0
trails.feeds,alienvault,,,,,,0,0,0,0,0,0,0,0
trails.feeds,atmos,,,,,,0,0,0,1,0,0,0,0
trails.feeds,badips,,,,,,0,0,0,0,0,0,0,0
trails.feeds,binarydefense,,,,,,0,0,0,0,0,0,0,0
trails.feeds,bitcoinnodes,,,,,,0,0,0,0,0,0,0,0
trails.feeds,blackbook,,,,,,0,0,0,0,0,0,0,0
trails.feeds,blackholemonster,,,,,,0,0,0,0,0,0,0,0
trails.feeds,blocklist,,,,,,0,0,0,0,0,0,0,0
trails.feeds,botscout,,,,,,0,0,0,0,0,0,0,0
trails.feeds,bruteforceblocker,,,,,,0,0,0,0,0,0,0,0
trails.feeds,ciarmy,,,,,,0,0,0,0,0,0,0,0
trails.feeds,cobaltstrike,,,,,,0,0,0,1,1,0,0,0
trails.feeds,cruzit,,,,,,0,0,0,0,0,0,0,0
trails.feeds,cybercrimetracker,,,,,,0,0,0,0,0,0,0,0
trails.feeds,dataplane,,,,,,1,0,0,1,0,0,0,0
trails.feeds,dshieldip,,,,,,0,0,0,0,0,0,0,0
trails.feeds,emergingthreatsbot,,,,,,0,0,0,0,0,0,0,0
trails.feeds,emergingthreatscip,,,,,,0,0,0,0,0,0,0,0
trails.feeds,emergingthreatsdns,,,,,,0,0,0,2,0,0,0,0
trails.feeds,fareit,,,,,,0,0,0,0,0,0,0,0
trails.feeds,feodotrackerip,,,,,,0,0,0,0,0,0,0,0
trails.feeds,gpfcomics,,,,,,0,0,0,0,0,0,0,0
trails.feeds,greensnow,,,,,,0,0,0,0,0,0,0,0
trails.feeds,ipnoise,,,,,,0,0,0,0,0,0,0,0
trails.feeds,maxmind,,,,,,0,0,0,0,0,0,0,0
trails.feeds,minerchk,,,,,,0,0,0,0,0,0,0,0
trails.feeds,myip,,,,,,0,0,0,0,0,0,0,0
trails.feeds,openphish,,,,,,0,0,0,0,0,0,0,0
trails.feeds,palevotracker,,,,,,0,0,0,0,0,0,0,0
trails.feeds,policeman,,,,,,1,0,0,1,0,0,0,0
trails.feeds,proxylists,,,,,,0,0,0,0,0,0,0,0
trails.feeds,proxyspy,,,,,,0,0,0,0,0,0,0,0
trails.feeds,ransomwaretrackerdns,,,,,,0,0,0,0,0,0,0,0
trails.feeds,ransomwaretrackerip,,,,,,0,0,0,0,0,0,0,0
trails.feeds,ransomwaretrackerurl,,,,,,0,0,0,0,0,0,0,0
trails.feeds,rutgers,,,,,,0,0,0,0,0,0,0,0
trails.feeds,sblam,,,,,,0,0,0,0,0,0,0,0
trails.feeds,scriptzteam,,,,,,0,0,0,0,1,0,0,0
trails.feeds,socksproxy,,,,,,0,0,0,0,0,0,0,0
trails.feeds,sslbl,,,,,,0,0,0,1,0,0,0,0
trails.feeds,sslproxies,,,,,,0,0,0,0,0,0,0,0
trails.feeds,statics,,,,,,0,0,0,0,1,0,0,0
trails.feeds,talosintelligence,,,,,,0,0,0,0,0,0,0,0
trails.feeds,torproject,,,,,,0,0,0,0,0,0,0,0
trails.feeds,trickbot,,,,,,0,0,0,2,0,0,0,0
trails.feeds,turris,,,,,,0,0,0,0,0,0,0,0
trails.feeds,urlhaus,,,,,,0,0,0,0,0,0,0,0
trails.feeds,viriback,,,,,,0,0,0,0,0,0,0,0
trails.feeds,vxvault,,,,,,0,0,0,0,0,0,0,0
trails.feeds,zeustrackermonitor,,,,,,0,0,0,0,0,0,0,0
trails.feeds,zeustrackerurl,,,,,,0,0,0,0,0,0,0,0
,server,,,,,,0,0,0,9,1,0,0,0
,sensor,,,,,,3,13,0,68,42,0,1,0
