Source,File,Method,Code_Smell,Line_no,Start_line,End_line,Details
dataset,colorized.py,write,Long Lambda Function,37.0,,,Lambda at line 37 has 137 characters (threshold: 80)
dataset,colorized.py,,Long Statement,16.0,,,Line 16 has 231 characters (threshold: 120)
dataset,colorized.py,,Long Statement,17.0,,,Line 17 has 148 characters (threshold: 120)
dataset,colorized.py,,Long Statement,18.0,,,Line 18 has 177 characters (threshold: 120)
dataset,colorized.py,,Long Statement,24.0,,,Line 24 has 146 characters (threshold: 120)
dataset,colorized.py,,Long Statement,27.0,,,Line 27 has 201 characters (threshold: 120)
dataset,colorized.py,,Long Statement,28.0,,,Line 28 has 142 characters (threshold: 120)
dataset,colorized.py,,Long Statement,34.0,,,Line 34 has 186 characters (threshold: 120)
dataset,colorized.py,,Long Statement,36.0,,,Line 36 has 180 characters (threshold: 120)
dataset,colorized.py,,Long Statement,37.0,,,Line 37 has 186 characters (threshold: 120)
dataset,common.py,check_whitelisted,Complex Method,,226.0,239.0,Method 'check_whitelisted' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,common.py,get_ex_message,Complex Method,,284.0,300.0,Method 'get_ex_message' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,common.py,retrieve_content,Complex Method,,44.0,72.0,Method 'retrieve_content' has cyclomatic complexity of 13 (threshold: 7)
dataset,common.py,ipcat_lookup,Complex Method,,74.0,109.0,Method 'ipcat_lookup' has cyclomatic complexity of 10 (threshold: 7)
dataset,common.py,get_regex,Complex Method,,176.0,221.0,Method 'get_regex' has cyclomatic complexity of 15 (threshold: 7)
dataset,common.py,process,Complex Method,,187.0,217.0,Method 'process' has cyclomatic complexity of 12 (threshold: 7)
dataset,common.py,load_trails,Complex Method,,241.0,268.0,Method 'load_trails' has cyclomatic complexity of 10 (threshold: 7)
dataset,common.py,worst_asns,Empty Catch Block,120.0,,,Empty catch block at line 120
dataset,common.py,cdn_ip,Empty Catch Block,134.0,,,Empty catch block at line 134
dataset,common.py,bogon_ip,Empty Catch Block,148.0,,,Empty catch block at line 148
dataset,common.py,check_whitelisted,Empty Catch Block,236.0,,,Empty catch block at line 236
dataset,common.py,load_trails,Empty Catch Block,264.0,,,Empty catch block at line 264
dataset,common.py,get_text,Empty Catch Block,276.0,,,Empty catch block at line 276
dataset,common.py,file_level,Long Identifier,30.0,,,Identificador 'MAX_HELP_OPTION_LENGTH' possui 23 caracteres (> 20)
dataset,common.py,file_level,Long Identifier,317.0,,,Identificador '_format_action_invocation' possui 25 caracteres (> 20)
dataset,common.py,file_level,Long Identifier,318.0,,,Identificador '__format_action_invocation' possui 26 caracteres (> 20)
dataset,common.py,file_level,Long Identifier,323.0,,,Identificador '__format_action_invocation' possui 26 caracteres (> 20)
dataset,common.py,file_level,Long Identifier,324.0,,,Identificador '_format_action_invocation' possui 25 caracteres (> 20)
dataset,common.py,retrieve_content,Long Lambda Function,50.0,,,Lambda at line 50 has 127 characters (threshold: 80). Convert to named function.
dataset,common.py,get_regex,Long Lambda Function,217.0,,,Lambda at line 217 has 139 characters (threshold: 80). Convert to named function.
dataset,common.py,,Long Statement,50.0,,,Line 50 has 214 characters (threshold: 120)
dataset,common.py,,Long Statement,217.0,,,Line 217 has 196 characters (threshold: 120)
dataset,dataplane.py,fetch,Complex Conditional,22.0,,,Conditional at line 22 has 3 logical operators (threshold: 2)
dataset,dataplane.py,fetch,Complex Method,,14.0,26.0,Method 'fetch' has cyclomatic complexity of 8 (threshold: 7)
dataset,dataplane.py,,Long Statement,16.0,,,Line 16 has 487 characters (threshold: 120)
dataset,ff_ippo.py,_update_step,Complex Method,,61.0,316.0,Method '_update_step' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_ippo.py,run_experiment,Complex Method,,451.0,570.0,Method 'run_experiment' has cyclomatic complexity of 8 (threshold: 7)
dataset,ff_ippo.py,file_level,Long Identifier,543.0,,,"Identificador 'unreplicated_learner_state' possui 27 caracteres, excedendo o limite de 20 caracteres."
dataset,ff_ippo.py,_env_step,Long Lambda Function,98.0,,,Lambda at line 98 has 83 characters (threshold: 80)
dataset,ff_ippo.py,file_level,Long Lambda Function,294.0,,,Lambda at line 294 has 81 characters (threshold: 80). Convert to named function.
dataset,ff_ippo.py,learner_setup,Long Lambda Function,414.0,,,Lambda at line 414 has 115 characters (threshold: 80)
dataset,ff_ippo.py,file_level,Long Lambda Function,438.0,,,Lambda at line 438 has 82 characters (threshold: 80). Convert to named function.
dataset,ff_ippo.py,learner_setup,Long Message Chain,363.0,,,Message chain at line 363 has 3 chained methods (threshold: 2)
dataset,ff_ippo.py,learner_setup,Long Message Chain,367.0,,,Message chain at line 367 has 3 chained methods (threshold: 2)
dataset,ff_ippo.py,learner_setup,Long Message Chain,442.0,,,Message chain at line 442 has 3 chained methods (threshold: 2)
dataset,ff_ippo.py,run_experiment,Long Message Chain,462.0,,,Message chain at line 462 has 3 chained methods (threshold: 2)
dataset,ff_ippo.py,get_learner_fn,Long Method,,50.0,346.0,Method 'get_learner_fn' has 297 lines (threshold: 67)
dataset,ff_ippo.py,_update_step,Long Method,,61.0,316.0,Method '_update_step' has 256 lines (threshold: 67)
dataset,ff_ippo.py,_update_epoch,Long Method,,153.0,304.0,Method '_update_epoch' has 152 lines (threshold: 67)
dataset,ff_ippo.py,_update_minibatch,Long Method,,156.0,282.0,Method '_update_minibatch' has 127 lines (threshold: 67)
dataset,ff_ippo.py,learner_setup,Long Method,,349.0,448.0,Method 'learner_setup' has 100 lines (threshold: 67)
dataset,ff_ippo.py,run_experiment,Long Method,,451.0,570.0,Method 'run_experiment' has 120 lines (threshold: 67)
dataset,ff_ippo.py,_actor_loss_fn,Long Parameter List,,,,Method '_actor_loss_fn' has 5 parameters (threshold: 4)
dataset,ff_ippo.py,_actor_loss_fn,Magic Number,176.0,,,Magic number 1e-08 found at line 176
dataset,ff_ippo.py,_critic_loss_fn,Magic Number,210.0,,,Magic number 0.5 found at line 210
dataset,ff_ippo_store_experience.py,_update_step,Complex Method,,68.0,308.0,Method '_update_step' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_ippo_store_experience.py,learner_setup,Complex Method,,346.0,448.0,Method 'learner_setup' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_ippo_store_experience.py,run_experiment,Complex Method,,451.0,670.0,Method 'run_experiment' has cyclomatic complexity of 11 (threshold: 7)
dataset,ff_ippo_store_experience.py,file_level,Long Identifier,473.0,,,"Variável 'num_updates_per_eval' tem 21 caracteres, excedendo o limite de 20."
dataset,ff_ippo_store_experience.py,file_level,Long Identifier,476.0,,,"Variável 'num_updates_per_eval' tem 21 caracteres, excedendo o limite de 20."
dataset,ff_ippo_store_experience.py,file_level,Long Identifier,502.0,,,"Variável 'dummy_flashbax_transition' tem 27 caracteres, excedendo o limite de 20."
dataset,ff_ippo_store_experience.py,file_level,Long Identifier,529.0,,,"Variável 'num_updates_per_eval' tem 21 caracteres, excedendo o limite de 20."
dataset,ff_ippo_store_experience.py,file_level,Long Identifier,535.0,,,"Variável 'dummy_flashbax_transition' tem 27 caracteres, excedendo o limite de 20."
dataset,ff_ippo_store_experience.py,file_level,Long Identifier,579.0,,,"Variável 'flashbax_transition' tem 21 caracteres, excedendo o limite de 20."
dataset,ff_ippo_store_experience.py,file_level,Long Identifier,653.0,,,"Variável 'abs_metric_evaluator' tem 21 caracteres, excedendo o limite de 20."
dataset,ff_ippo_store_experience.py,run_experiment,Long Identifier,,,,Identifier 'dummy_flashbax_transition' has 25 characters (threshold: 20)
dataset,ff_ippo_store_experience.py,_env_step,Long Lambda Function,104.0,,,Lambda at line 104 has 83 characters (threshold: 80)
dataset,ff_ippo_store_experience.py,file_level,Long Lambda Function,286.0,,,Lambda at line 286 has 81 characters (threshold: 80). Convert to named function.
dataset,ff_ippo_store_experience.py,learner_setup,Long Lambda Function,413.0,,,Lambda at line 413 has 99 characters (threshold: 80)
dataset,ff_ippo_store_experience.py,learner_setup,Long Lambda Function,434.0,,,Lambda at line 434 has 93 characters (threshold: 80)
dataset,ff_ippo_store_experience.py,learner_setup,Long Lambda Function,438.0,,,Lambda at line 438 has 115 characters (threshold: 80)
dataset,ff_ippo_store_experience.py,learner_setup,Long Message Chain,363.0,,,Message chain at line 363 has 3 chained methods (threshold: 2)
dataset,ff_ippo_store_experience.py,learner_setup,Long Message Chain,364.0,,,Message chain at line 364 has 3 chained methods (threshold: 2)
dataset,ff_ippo_store_experience.py,learner_setup,Long Message Chain,365.0,,,Message chain at line 365 has 3 chained methods (threshold: 2)
dataset,ff_ippo_store_experience.py,learner_setup,Long Message Chain,431.0,,,Message chain at line 431 has 3 chained methods (threshold: 2)
dataset,ff_ippo_store_experience.py,run_experiment,Long Message Chain,463.0,,,Message chain at line 463 has 3 chained methods (threshold: 2)
dataset,ff_ippo_store_experience.py,get_learner_fn,Long Method,,57.0,343.0,Method 'get_learner_fn' has 287 lines (threshold: 67)
dataset,ff_ippo_store_experience.py,_update_step,Long Method,,68.0,308.0,Method '_update_step' has 241 lines (threshold: 67)
dataset,ff_ippo_store_experience.py,_update_epoch,Long Method,,154.0,296.0,Method '_update_epoch' has 143 lines (threshold: 67)
dataset,ff_ippo_store_experience.py,_update_minibatch,Long Method,,157.0,274.0,Method '_update_minibatch' has 118 lines (threshold: 67)
dataset,ff_ippo_store_experience.py,learner_setup,Long Method,,346.0,448.0,Method 'learner_setup' has 103 lines (threshold: 67)
dataset,ff_ippo_store_experience.py,run_experiment,Long Method,,451.0,670.0,Method 'run_experiment' has 220 lines (threshold: 67)
dataset,ff_ippo_store_experience.py,,Magic Number,54.0,,,Magic number 5 found at line 54
dataset,ff_ippo_store_experience.py,_actor_loss_fn,Magic Number,176.0,,,Magic number 1e-08 found at line 176
dataset,ff_ippo_store_experience.py,_critic_loss_fn,Magic Number,209.0,,,Magic number 0.5 found at line 209
dataset,ff_isac.py,init,Complex Method,,58.0,208.0,Method 'init' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_isac.py,update_actor_and_alpha,Complex Method,,342.0,384.0,Method 'update_actor_and_alpha' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_isac.py,run_experiment,Complex Method,,491.0,602.0,Method 'run_experiment' has cyclomatic complexity of 8 (threshold: 7)
dataset,ff_isac.py,file_level,Long Identifier,581.0,,,"Identificador 'unreplicated_learner_state' possui 27 caracteres, excedendo o limite de 20 caracteres."
dataset,ff_isac.py,file_level,Long Identifier,584.0,,,"Parâmetro 'unreplicated_learner_state' possui 27 caracteres, excedendo o limite de 20 caracteres."
dataset,ff_isac.py,run_experiment,Long Identifier,,,,Identifier 'unreplicated_learner_state' has 26 characters (threshold: 20)
dataset,ff_isac.py,replicate,Long Lambda Function,96.0,,,Lambda at line 96 has 81 characters (threshold: 80). Convert to named function.
dataset,ff_isac.py,train,Long Lambda Function,403.0,,,Lambda at line 403 has 154 characters (threshold: 80)
dataset,ff_isac.py,init,Long Message Chain,91.0,,,Message chain at line 91 has 3 chained methods (threshold: 2)
dataset,ff_isac.py,init,Long Message Chain,112.0,,,Message chain at line 112 has 3 chained methods (threshold: 2)
dataset,ff_isac.py,init,Long Message Chain,120.0,,,Message chain at line 120 has 3 chained methods (threshold: 2)
dataset,ff_isac.py,init,Long Message Chain,190.0,,,Message chain at line 190 has 3 chained methods (threshold: 2)
dataset,ff_isac.py,run_experiment,Long Message Chain,568.0,,,Message chain at line 568 has 3 chained methods (threshold: 2)
dataset,ff_isac.py,run_experiment,Long Message Chain,593.0,,,Message chain at line 593 has 3 chained methods (threshold: 2)
dataset,ff_isac.py,init,Long Method,,58.0,208.0,Method 'init' has 151 lines (threshold: 67)
dataset,ff_isac.py,make_update_fns,Long Method,,211.0,488.0,Method 'make_update_fns' has 278 lines (threshold: 67)
dataset,ff_isac.py,run_experiment,Long Method,,491.0,602.0,Method 'run_experiment' has 112 lines (threshold: 67)
dataset,ff_isac.py,make_update_fns,Long Parameter List,,,,Method 'make_update_fns' has 6 parameters (threshold: 4)
dataset,ff_isac.py,actor_loss_fn,Long Parameter List,,,,Method 'actor_loss_fn' has 5 parameters (threshold: 4)
dataset,ff_mappo.py,_update_step,Complex Method,,56.0,300.0,Method '_update_step' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_mappo.py,run_experiment,Complex Method,,435.0,553.0,Method 'run_experiment' has cyclomatic complexity of 8 (threshold: 7)
dataset,ff_mappo.py,_env_step,Long Lambda Function,92.0,,,Lambda at line 92 has 83 characters (threshold: 80)
dataset,ff_mappo.py,learner_setup,Long Lambda Function,398.0,,,Lambda at line 398 has 115 characters (threshold: 80)
dataset,ff_mappo.py,file_level,Long Lambda Function,422.0,,,Lambda at line 422 has 81 characters (threshold: 80). Convert to named function.
dataset,ff_mappo.py,learner_setup,Long Message Chain,347.0,,,Message chain at line 347 has 3 chained methods (threshold: 2)
dataset,ff_mappo.py,learner_setup,Long Message Chain,351.0,,,Message chain at line 351 has 3 chained methods (threshold: 2)
dataset,ff_mappo.py,learner_setup,Long Message Chain,426.0,,,Message chain at line 426 has 3 chained methods (threshold: 2)
dataset,ff_mappo.py,run_experiment,Long Message Chain,446.0,,,Message chain at line 446 has 3 chained methods (threshold: 2)
dataset,ff_mappo.py,get_learner_fn,Long Method,,45.0,330.0,Method 'get_learner_fn' has 286 lines (threshold: 67)
dataset,ff_mappo.py,_update_step,Long Method,,56.0,300.0,Method '_update_step' has 245 lines (threshold: 67)
dataset,ff_mappo.py,_update_epoch,Long Method,,141.0,288.0,Method '_update_epoch' has 148 lines (threshold: 67)
dataset,ff_mappo.py,_update_minibatch,Long Method,,144.0,266.0,Method '_update_minibatch' has 123 lines (threshold: 67)
dataset,ff_mappo.py,learner_setup,Long Method,,333.0,432.0,Method 'learner_setup' has 100 lines (threshold: 67)
dataset,ff_mappo.py,run_experiment,Long Method,,435.0,553.0,Method 'run_experiment' has 119 lines (threshold: 67)
dataset,ff_mappo.py,_actor_loss_fn,Long Parameter List,,,,Method '_actor_loss_fn' has 5 parameters (threshold: 4)
dataset,ff_mappo.py,_actor_loss_fn,Magic Number,164.0,,,Magic number 1e-08 found at line 164
dataset,ff_mappo.py,_critic_loss_fn,Magic Number,198.0,,,Magic number 0.5 found at line 198
dataset,log.py,get_event_log_handle,Complex Method,,52.0,81.0,Method 'get_event_log_handle' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,log.py,flush_condensed_events,Complex Method,,100.0,132.0,Method 'flush_condensed_events' has cyclomatic complexity of 12 (threshold: 7)
dataset,log.py,log_event,Complex Method,,134.0,226.0,Method 'log_event' has cyclomatic complexity of 30 (threshold: 7)
dataset,log.py,start_logd,Complex Method,,242.0,291.0,Method 'start_logd' has cyclomatic complexity of 11 (threshold: 7)
dataset,log.py,get_event_log_handle,Empty Catch Block,69.0,,,Empty catch block at line 69
dataset,log.py,file_level,Long Identifier,27.0,,,Constant 'CONDENSED_EVENTS_FLUSH_PERIOD' has 29 characters (> 20)
dataset,log.py,file_level,Long Identifier,28.0,,,Constant 'DEFAULT_ERROR_LOG_PERMISSIONS' has 30 characters (> 20)
dataset,log.py,file_level,Long Identifier,29.0,,,Constant 'DEFAULT_EVENT_LOG_PERMISSIONS' has 30 characters (> 20)
dataset,log.py,file_level,Long Identifier,52.0,,,Function 'get_event_log_handle' has 21 characters (> 20)
dataset,log.py,file_level,Long Identifier,83.0,,,Function 'get_error_log_handle' has 21 characters (> 20)
dataset,log.py,file_level,Long Identifier,100.0,,,Function 'flush_condensed_events' has 22 characters (> 20)
dataset,log.py,file_level,Long Lambda Function,147.0,,,Lambda at line 147 has 103 characters (threshold: 80). Convert to named function.
dataset,log.py,file_level,Long Lambda Function,172.0,,,Lambda at line 172 has 81 characters (threshold: 80). Convert to named function.
dataset,log.py,file_level,Long Lambda Function,185.0,,,Lambda at line 185 has 130 characters (threshold: 80). Convert to named function.
dataset,log.py,file_level,Long Lambda Function,278.0,,,Lambda at line 278 has 130 characters (threshold: 80). Convert to named function.
dataset,log.py,file_level,Long Lambda Function,280.0,,,Lambda at line 280 has 81 characters (threshold: 80). Convert to named function.
dataset,log.py,log_event,Long Message Chain,179.0,,,Message chain at line 179 has 3 chained methods (threshold: 2)
dataset,log.py,handle,Long Message Chain,254.0,,,Message chain at line 254 has 3 chained methods (threshold: 2)
dataset,log.py,log_event,Long Method,,134.0,226.0,Method 'log_event' has 93 lines (threshold: 67)
dataset,log.py,,Long Statement,147.0,,,Line 147 has 167 characters (threshold: 120)
dataset,log.py,,Long Statement,172.0,,,Line 172 has 144 characters (threshold: 120)
dataset,log.py,,Long Statement,185.0,,,Line 185 has 157 characters (threshold: 120)
dataset,log.py,,Long Statement,205.0,,,Line 205 has 138 characters (threshold: 120)
dataset,log.py,,Long Statement,206.0,,,Line 206 has 385 characters (threshold: 120)
dataset,log.py,,Long Statement,212.0,,,Line 212 has 295 characters (threshold: 120)
dataset,log.py,,Long Statement,217.0,,,Line 217 has 127 characters (threshold: 120)
dataset,log.py,,Long Statement,254.0,,,Line 254 has 122 characters (threshold: 120)
dataset,log.py,,Long Statement,278.0,,,Line 278 has 123 characters (threshold: 120)
dataset,rec_ippo.py,_update_step,Complex Method,,69.0,407.0,Method '_update_step' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,rec_ippo.py,learner_setup,Complex Method,,442.0,580.0,Method 'learner_setup' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,rec_ippo.py,run_experiment,Complex Method,,583.0,721.0,Method 'run_experiment' has cyclomatic complexity of 9 (threshold: 7)
dataset,rec_ippo.py,file_level,Long Identifier,170.0,,,Identificador 'batched_last_observation' possui 25 caracteres (> 20).
dataset,rec_ippo.py,file_level,Long Identifier,689.0,,,Identificador 'unreplicated_learner_state' possui 27 caracteres (> 20).
dataset,rec_ippo.py,_update_step,Long Identifier,,,,Identifier 'batched_last_observation' has 24 characters (threshold: 20)
dataset,rec_ippo.py,file_level,Long Lambda Function,108.0,,,Lambda at line 108 has 81 characters (threshold: 80). Convert to named function.
dataset,rec_ippo.py,_env_step,Long Lambda Function,132.0,,,Lambda at line 132 has 83 characters (threshold: 80)
dataset,rec_ippo.py,file_level,Long Lambda Function,170.0,,,Lambda at line 170 has 82 characters (threshold: 80). Convert to named function.
dataset,rec_ippo.py,_update_epoch,Long Lambda Function,348.0,,,Lambda at line 348 has 193 characters (threshold: 80)
dataset,rec_ippo.py,_update_epoch,Long Lambda Function,360.0,,,Lambda at line 360 has 125 characters (threshold: 80)
dataset,rec_ippo.py,file_level,Long Lambda Function,492.0,,,Lambda at line 492 has 82 characters (threshold: 80). Convert to named function.
dataset,rec_ippo.py,learner_setup,Long Lambda Function,546.0,,,Lambda at line 546 has 115 characters (threshold: 80)
dataset,rec_ippo.py,file_level,Long Lambda Function,563.0,,,Lambda at line 563 has 88 characters (threshold: 80). Convert to named function.
dataset,rec_ippo.py,learner_setup,Long Message Chain,457.0,,,Message chain at line 457 has 3 chained methods (threshold: 2)
dataset,rec_ippo.py,learner_setup,Long Message Chain,458.0,,,Message chain at line 458 has 3 chained methods (threshold: 2)
dataset,rec_ippo.py,learner_setup,Long Message Chain,462.0,,,Message chain at line 462 has 3 chained methods (threshold: 2)
dataset,rec_ippo.py,learner_setup,Long Message Chain,463.0,,,Message chain at line 463 has 3 chained methods (threshold: 2)
dataset,rec_ippo.py,learner_setup,Long Message Chain,567.0,,,Message chain at line 567 has 3 chained methods (threshold: 2)
dataset,rec_ippo.py,run_experiment,Long Message Chain,602.0,,,Message chain at line 602 has 3 chained methods (threshold: 2)
dataset,rec_ippo.py,get_learner_fn,Long Method,,59.0,439.0,Method 'get_learner_fn' has 381 lines (threshold: 67)
dataset,rec_ippo.py,_update_step,Long Method,,69.0,407.0,Method '_update_step' has 339 lines (threshold: 67)
dataset,rec_ippo.py,_update_epoch,Long Method,,205.0,380.0,Method '_update_epoch' has 176 lines (threshold: 67)
dataset,rec_ippo.py,_update_minibatch,Long Method,,208.0,337.0,Method '_update_minibatch' has 130 lines (threshold: 67)
dataset,rec_ippo.py,learner_setup,Long Method,,442.0,580.0,Method 'learner_setup' has 139 lines (threshold: 67)
dataset,rec_ippo.py,run_experiment,Long Method,,583.0,721.0,Method 'run_experiment' has 139 lines (threshold: 67)
dataset,rec_ippo.py,_actor_loss_fn,Long Parameter List,,,,Method '_actor_loss_fn' has 5 parameters (threshold: 4)
dataset,rec_ippo.py,_actor_loss_fn,Magic Number,231.0,,,Magic number 1e-08 found at line 231
dataset,rec_ippo.py,_critic_loss_fn,Magic Number,268.0,,,Magic number 0.5 found at line 268
dataset,settings.py,_get_total_physmem,Complex Method,,156.0,225.0,Method '_get_total_physmem' has cyclomatic complexity of 15 (threshold: 7)
dataset,settings.py,read_config,Complex Method,,227.0,379.0,Method 'read_config' has cyclomatic complexity of 56 (threshold: 7)
dataset,settings.py,read_whitelist,Complex Method,,381.0,414.0,Method 'read_whitelist' has cyclomatic complexity of 14 (threshold: 7)
dataset,settings.py,read_ua,Complex Method,,438.0,462.0,Method 'read_ua' has cyclomatic complexity of 8 (threshold: 7)
dataset,settings.py,_get_total_physmem,Empty Catch Block,185.0,,,Empty catch block at line 185
dataset,settings.py,_get_total_physmem,Empty Catch Block,192.0,,,Empty catch block at line 192
dataset,settings.py,_get_total_physmem,Empty Catch Block,198.0,,,Empty catch block at line 198
dataset,settings.py,_get_total_physmem,Empty Catch Block,204.0,,,Empty catch block at line 204
dataset,settings.py,_get_total_physmem,Empty Catch Block,210.0,,,Empty catch block at line 210
